dataset,pixel_id,lat,lon,n_events,variance_full_series,ac1_full_series,lambda_ar1_full_series
GPP,39,49.875,-71.375,1,1.2011702687488028e-05,0.17204104662830028,1.7599619166508709
GPP,40,52.375,-121.875,1,1.2980927369177069e-05,0.10256534237485947,2.2765788803728957
GPP,41,53.375,-122.375,1,1.5536096641271684e-05,0.28328988867903093,1.2612872649393834
GPP,42,53.375,-121.625,1,1.895094846197286e-05,0.28248861663058067,1.2641174327833409
GPP,43,53.625,-128.875,1,1.1918956093699163e-05,0.3311625594581844,1.1051456005615776
GPP,44,54.375,-129.375,1,9.930686303095036e-06,0.39405286600012124,0.9312806274305487
GPP,45,55.375,-120.625,1,1.176888861884568e-05,0.165859861528548,1.7965918964780074
GPP,46,55.875,-122.625,1,1.2230695455621824e-05,0.2254621949258666,1.489469571217009
GPP,47,56.125,-129.875,1,1.5501457393680303e-06,0.4012606175829761,0.9131471891070766
GPP,48,56.125,-125.375,1,9.205305893863598e-06,0.268264941196097,1.3157681780023818
GPP,49,56.625,-124.375,1,1.0061535694953397e-05,0.2280562812953888,1.478166931107465
GPP,50,52.375,-101.625,1,1.2467922212794546e-05,0.23149197820437958,1.463250525275608
GPP,51,54.375,-119.375,1,1.1246374132929033e-05,0.17502492038564288,1.7425773877794046
GPP,52,54.375,-116.875,1,1.1374669479887834e-05,0.19089758473854035,1.656026568520052
GPP,53,54.375,-105.875,1,1.15622888759109e-05,0.28548579467268387,1.2535505390684065
GPP,54,55.125,-111.625,1,1.0619143111780159e-05,0.15528931548402247,1.8623301464807371
GPP,55,55.375,-106.875,1,1.47083968834668e-05,0.37879490391354337,0.9707555412602158
GPP,56,55.625,-103.625,1,9.920823534536331e-06,0.17641390874263124,1.7349206608782748
GPP,57,56.375,-112.875,1,1.2647472884849157e-05,0.11727011798983995,2.143242243422308
GPP,58,56.625,-110.125,1,1.4319350802637432e-05,0.247218344284923,1.3975071936982744
GPP,59,56.875,-117.125,1,1.2114199505945985e-05,0.15034387476400995,1.8947561634797523
